id,first_name,last_name,position,team_id
2043,Jeff,Withey,,19
2214,Yakuba,Ouattara,,3
2287,Dan,Roundfield,,1
2564,Ed,Lawrence,,9
2970,Olden,Polynice,,21
1891701,Eric,Mika,C-F,26
96,Joe,Chealey,G,4
4196854,Ejike,Ugboaja,F,6
666393,Jalen,Adams,G,28
17895911,Barry,Brown,G,22
24839769,Paris,Bass,F,24
666751,Kelan,Martin,F,2
17895875,Aric,Holman,C,16
46389688,Frankie,Baumholtz,,39
3547252,Vernon,Carey Jr.,F-C,29
46406987,Chuck,Terry,,17
46403264,Jesse,Branson,,23
24417679,Xavier,Moon,G,13
228,Kyrie,Irving,G,7
437,Milos,Teodosic,G,13
764,Reggie,Smith,,25
962,Ed,O'Bannon,,3
1385,Jarron,Collins,,29
1574,Delonte,West,,2
1656,John,Lucas III,,11
1926,Josh,Harrellson,,20
2024,Chris,Johnson,,15
